"","Name","Rating","latitude","longitude","price","review_count","categories"
"256","Marnee Thai",4,37.76513,-122.46671,"$$",1572,"Thai"
"257","Trattoria Contadina",4,37.80018,-122.41228,"$$",1238,"Italian"
"258","Polly Ann Ice Cream",4,37.753435,-122.497758,"$",1196,"Ice Cream & Frozen Yogurt"
"259","The Little Chihuahua",4,37.7720399,-122.43688,"$$",1411,"Mexican"
"260","Fresh Brew Coffee",4.5,37.79001,-122.41177,"$",501,"Coffee & Tea Sandwiches Vietnamese"
"261","Japanese Tea Garden",4,37.7700897295676,-122.470314657078,"$",1270,"Tea Rooms Gift Shops"
"262","Universal Cafe",4,37.76062,-122.41064,"$$",1300,"Breakfast & Brunch American (New) Diners"
"263","Just For You Cafe",4,37.7579585099187,-122.388854026794,"$$",1351,"American (Traditional) Breakfast & Brunch"
"264","Nopalito",4,37.77343530099,-122.438993048014,"$$",1763,"Mexican Gluten-Free"
"265","Crepevine Restaurant",4,37.76435,-122.46467,"$$",1499,"Creperies Breakfast & Brunch American (New)"
"266","Fino Ristorante & Bar",4,37.7879880715968,-122.412287082989,"$$",1069,"Italian Desserts Pizza"
"267","Mourad Restaurant",4,37.78661,-122.4,"$$$",860,"Moroccan Venues & Event Spaces Bars"
"268","Han Il Kwan",4,37.77675,-122.4783,"$$",1492,"Korean"
"269","Dumpling Time",4,37.7697533,-122.4022546,"$$",1097,"Dim Sum Asian Fusion"
"270","Gialina Pizzeria",4,37.73405,-122.43424,"$$",1083,"Pizza Italian Salad"
"271","Cockscomb",4,37.77865,-122.39733,"$$$",1059,"Bars American (New)"
"272","Ritual Coffee Roasters",4,37.75642,-122.42137,"$$",1862,"Coffee & Tea"
"273","Franchino",4,37.79833,-122.40757,"$$",1056,"Italian"
"274","Old Jerusalem Restaurant",4,37.7495007,-122.4184218,"$$",993,"Middle Eastern Mediterranean Arabian"
"275","Flour + Water",3.5,37.75892,-122.41231,"$$$",2171,"Italian Pizza"
"276","Starbelly",4,37.7640665498011,-122.432531118393,"$$",1671,"Comfort Food Pizza Cocktail Bars"
